Id,Status,Tags,Worktime,Process
34fd4716-28cc-467a-b592-533676f383c8,Complete,Conventional;Redisclosure: 1;Run UCD,260,ICD
351869a1-47d1-48e1-9630-bc42b2df58f4,Complete,Conventional;Redisclosure: 1;Run UCD,256,ICD
358d1f7e-8d74-473c-9594-6b663b794122,Complete,Conventional;Redisclosure: 1;Run UCD,458,ICD
35f73104-7c54-4bcf-81d7-7dc7c24ff091,Complete,Conventional;Failed to perform step 1 in Read Stage 'Is Forms Selected?' on page 'Click - eFolder' - Unable to match any Active Accessibility elements to the supplied query terms - Unable to update data via Encompass API - Cause: Loan Locked by User;Redisclosure: 1;Redisclosure: 2;Run UCD;System Exception,1187,ICD
362be48b-6fdc-4976-ad77-77d78626f8e6,Complete,Redisclosure: 0,656,ICD
368f4412-8ec3-49ec-8576-372361c54273,Complete,Conventional;Redisclosure: 1;Run UCD,649,ICD
36a0ad56-5b99-45b4-9519-4d07b01c60ab,Complete,Redisclosure: 0,1053,ICD
370105b5-c007-476f-9ba7-b296b1bf45eb,Complete,Redisclosure: 1,168,ICD
379e6ac2-ef89-42af-818a-20ca234d60a4,Complete,Conventional;Redisclosure: 0;Run UCD,674,ICD
37a77440-116e-404d-8630-5e56effa99a7,Complete,Conventional;Redisclosure: 6;Run UCD,286,ICD
3823c931-33c7-4f6d-8d6b-8e81e5513e53,Complete,Redisclosure: 0,601,ICD
3842060c-6a82-4329-b311-6ef31eadbc31,Complete,Conventional;Redisclosure: 0;Run UCD,782,ICD
38ac5fb8-5789-4bd3-8603-c61a10e19dc6,Complete,Conventional;Redisclosure: 0;Run UCD,675,ICD
3939d284-c17a-405c-b185-cea428528fa6,Complete,Conventional;Redisclosure: 0;Run UCD,672,ICD
39b667fe-072f-48f6-b949-dc31665c4117,Complete,Conventional;Redisclosure: 0;Run UCD,667,ICD
39cc4c1d-ce22-4967-bf79-c07d35bd064a,Complete,Redisclosure: 0,630,ICD
3a87f3b1-6ed5-424d-b481-30a64c5cbae8,Complete,Conventional;Redisclosure: 0;Run UCD,756,ICD
3a9b37d8-a35b-4f2b-87ce-ba3c1fee0348,Complete,Redisclosure: 0,542,ICD
